WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3;USE1;USE2;USE3
abroad;2;adv;2;za granicą;;;;;
actor;1;n;1;aktor;;;;;
actress;1;n;1;aktorka;;;;;
actually;1;adv;2;właściwie;;;;;
adult;1;n;2;dorosły;;;;;
advert;2;n;2;ogłoszenie;;;;;
afternoon;1;n;1;popołudnie;;;;;
age;2;n;2;wiek;;;;;
airport;2;n;2;lotnisko;;;;;
aloud;1;adv;2;na głos, głośno;;;;;
always;1;adv;1;zawsze;;;;;
ambassador;1;n;2;ambasador;;;;;
ambition;1;n;2;ambicja;;;;;
analogue;2;adj;3;analogowy;;;;;
angry;2;adj;2;zły;;;;;
answer;1;n;1;odpowiedź;;;;;
ape;1;n;2;małpa;;;;;
apple;1;n;1;jabłko;;;;;
approximate;1;adj;3;przybliżony;;;;;
arm;1;n;1;ramię;;;;;
article;1;n;2;artykuł;;;;;
at all;2;adv;3;w ogóle;;;;;
at least;1;adv;2;przynajmniej;;;;;
August;1;n;1;sierpień;;;;;
average;1;adj;2;przeciętny;;;;;
award;2;n;3;nagroda;;;;;
backgammon;1;n;3;tryk-trak (gra planszowa);;;;;
bandana bag;1;n;3;torba płócienna;;;;;
bank;1;n;1;bank;;;;;
baseball;1;n;2;bejsbol;;;;;
basket;1;n;1;kosz;;;;;
basketball;1;n;2;koszykówka;;;;;
bay;2;n;3;zatoka;;;;;
beach;2;n;2;plaża;;;;;
bed;1;n;1;łóżko;;;;;
below;1;adv;2;poniżej;;;;;
birthday;1;n;2;urodziny;;;;;
black;1;adj;1;czarny;;;;;
board game;1;n;2;gra planszowa;;;;;
boarding pass;1;n;3;karta pokładowa;;;;;
body;1;n;1;ciało;;;;;
bold;1;adj;3;pogrubiony;śmiały;;;;
bored;2;adj;2;znudzony;;;;;
born;1;adj;1;urodzony;;;;;
bowling;1;n;3;kręglarstwo;;;;;
bracket;1;n;2;nawias;;;;;
brawl;1;n;3;rozróba;bójka;;;;
breakfast;1;n;1;śniadanie;;;;;
brief;1;adj;3;zwięzły;krótki;;;;
brilliant;2;adj;3;błyskotliwy;;;;;
British;2;adj;1;brytyjski;;;;;
broom;1;n;2;miotła;;;;;
business trip;2;n;3;podróż służbowa;;;;;
button;1;n;2;guzik;;;;;
card;1;n;1;karta;;;;;
case;1;n;2;przypadek;;;;;
centre;2;n;2;centrum;;;;;
century;1;n;2;stulecie;;;;;
championship;1;n;2;mistrzostwo;;;;;
chance;1;n;2;szansa;los;;;;
channel;1;n;2;kanał;;;;;
chef;2;n;2;szef kuchni;;;;;
chess;1;n;3;szachy;;;;;
child;2;n;1;dziecko;;;;;
cinema;1;n;2;kino;;;;;
class;1;n;1;zajęcia, lekcja;klasa, typ;;;;
classical music;1;n;2;muzyka klasyczna;;;;;
coffee;1;n;1;kawa;;;;;
college;1;n;2;szkoła pomaturalna, kolegium;;;;;
colour;1;n;1;kolor;;;;;
common;1;adj;2;wspólny;pospolity;;;;
communication;2;n;1;komunikacja;;;;;
community;1;n;2;społeczność;;;;;
company;2;n;2;firma;;;;;
consequence;2;n;2;konsekwencja;;;;;
