WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
ukoñczyæ studia;1;v;2;to graduate;;
seminarium;1;n;1;seminar;;
absolutorium;1;n;3;certificate of completion;œwiadectwo ukoñczenia;
indeks;1;n;2;index book;;
æwiczenia;1;n;1;classes;klasy;
kampus;1;n;1;campus;miasteczko studenckie;
stypendium naukowe;1;n;2;scholarship;;
obrona pracy magisterskiej;1;n;3;defence of master's thesis;;
obrona pracy doktorskiej;1;n;3;defence of doctoral thesis;;
uzyskaæ zaliczenie;1;v;2;to get a credit;dostaæ kredyt;
chodziæ na wyk³ady;1;v;2;to attend lectures;;
uzyskaæ stopieñ;1;v;2;to obtain a degree ;;
praca magisterska ;1;n;3;master's thesis/dissertation;;
ko³o naukowe;1;n;2;scientific circle;;
program studiów;1;n;2;syllabus;konspekt;
laboratoria;1;n;1;lab classes;;
dziekanat;1;n;2;dean's office;;
sesja egzaminacyjna;1;n;1;exam session;;
komisja egzaminacyjna;1;n;2;examining board;;
poziom nauczania;1;n;1;standards of teaching;;
egzamin poprawkowy;1;n;2;resit exam;;
egzamin poprawkowy;1;n;2;retake exam;;
egzamin poprawkowy;1;n;2;make-up exam;;
stypendium socjalne;1;n;2;maintenance grant;;
robiæ projekt;1;v;2;to do a project on;;
rok akademicki;1;n;1;academic year;;
akademik;1;n;2;dormitory;bursa;
schronisko;1;n;2;hostel;akademik;
sta¿;1;v;1;to do student practice;;
sta¿;1;v;3;internship;praktyka studencka;
rektor;1;n;2;rector;;
dziekan;1;n;2;dean;;
pracownik naukowy;1;n;2;research worker;;
doktorant;1;n;1;doctoral student;;
wyk³adowca;1;n;2;lecturer;;
recenzent pracy naukowej;1;n;3;examiner of a thesis;;
promotor;1;n;3;thesis supervisor;;
praktykant;1;n;2;trainee;kursant;
absolwent;1;n;2;graduate ;;
studia licencjackie;1;n;3;undergraduate studies;;
studia podyplomowe;1;n;3;postgraduate studies;;
studia dzienne;1;n;2;full-time studies;;
