WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
ability;1;n;1;zdolnoœæ;umiejêtnoœæ;
able;1;adj;1;zdolny;zdatny;
accurate;1;adj;2;dok³adny;trafny;
advantage;1;n;1;zaleta;przewaga;
adventurous;1;adj;2;¿¹dny przygód;awanturniczy;œmia³y
ambitious;1;adj;1;ambitny;;
anticipation;1;n;2;przewidywanie;oczekiwanie;
appearance;1;n;2;wygl¹d;pojawienie siê;
approach;1;n;2;podejœcie;zbli¿enie siê;
assertive;1;adj;2;asertywny;;
attitude;1;n;2;postawa;stosunek;nastawienie
audience;1;n;2;widownia;publicznoœæ;
auxiliary;1;adj;2;pomocniczy;posi³kowy;
awareness;1;n;2;œwiadomoœæ;;
basically;1;adv;2;w zasadzie;gruntownie;przede wszystkim
bilingual;1;adj;3;dwujêzyczny;;
bossy;1;adj;2;w³adczy;apodyktyczny;
brilliant;1;adj;2;b³yskotliwy;znakomity;
casually;1;adv;2;niedbale;swobodnie;mimochodem
cautious;1;adj;2;ostro¿ny;przezorny;
certain;1;adj;1;pewny;pewien;
correctly;1;adv;1;prawid³owo;poprawnie;dobrze
curious;1;adj;2;zaciekawiony;ciekawski;
currently;1;adv;2;obecnie;bie¿¹co;
customer;1;n;2;klient;;
cyclist;1;n;2;rowerzysta;;
developed;1;adj;1;rozwiniêty;rozbudowany;
distracted;1;adj;3;zdekoncentrowany;rozkojarzony;
easy-going;1;adj;2;wyluzowany;zrelaksowany;wyrozumia³y
effort;1;n;2;wysi³ek;;
employee;1;n;3;pracobiorca;pracownik;
employer;1;n;2;pracodawca;;
enormous;1;adj;2;ogromny;olbrzymi;astronomiczny
essential;1;adj;3;zasadniczy;istotny;
even-tempered;1;adj;3;zrównowa¿ony;opanowany;
excitement;1;n;2;podniecenie;podekscytowanie;
extraordinary;1;adj;2;niezwyk³y;nadzwyczajny;zadziwiaj¹cy
fame;1;n;1;s³awa;rozg³os;
fault;1;n;2;wina;wada;
female;1;adj;1;¿eñski;;
few;1;adv;1;niewiele;;
film director;1;n;1;re¿yser filmowy;;
former leader;1;n;2;by³y przywódca;;
generous;1;adj;2;hojny;szczodry;wspania³omyœlny
gradually;1;adv;2;stopniowo;;
habitual;1;adj;1;nawykowy;na³ogowy;
hard-working;1;adj;1;pracowity;robotny;
head of state;1;n;1;g³owa pañstwa;;
indecisive;1;adj;2;niezdecydowany;niestanowczy;
indefinable;1;adj;3;nieokreœlony;;
influence;1;n;2;wp³yw;oddzia³ywanie;
insurance;1;n;2;ubezpieczenie;;
interest;1;n;2;odsetki;zainteresowanie;
introspective;1;adj;2;introspekcyjny;;
judgement;1;n;2;os¹d;ocena;wyrok
lack;1;n;2;brak;;
lasting ;1;adj;2;trwa³y;sta³y;
less;1;adv;1;mniej;;
librarian;1;n;2;bibliotekarz;;
majority;1;n;2;wiêkszoœæ;;
male;1;adj;1;mêski;;
meaning;1;n;1;znaczenie;sens ;
minor;1;adj;2;niegroŸny, lekki;drobny;
monorail;1;adj;3;jednoszynowy;;
moody;1;adj;2;humorzasty;;
musician;1;n;2;muzyk;;
only child;1;n;2;jedynak, jedynaczka;;
open-minded;1;adj;2;o otwartym umyœle;wolny od uprzedzeñ;
overrated;1;adj;3;przereklamowany;przeceniony;
patient;1;adj;1;cierpliwy;;
pedestrian;1;n;3;pieszy;przechodzieñ;
personality;1;n;1;osobowoœæ;osobistoœæ;charakter
personality clash;1;n;2;konflikt osobowoœci;;
politician;1;n;2;polityk;;
poor ;1;adj;1;biedny;kiepski;s³aby
power of concentration;1;n;1;zdolnoœæ koncentracji;;
pressure;1;n;2;ciœnienie;presja;
programmer;1;n;2;programista;;
property;1;n;2;nieruchomoœæ;w³aœciwoœæ, cecha;
proverb;1;n;3;przys³owie;;
psychiatrist;1;n;2;psychiatra;;
psychometrics;1;n;3;psychometria;;
quality;1;n;2;jakoœæ;cecha;
rage;1;n;2;wœciek³oœæ;sza³;
rare;1;adj;1;rzadki;;
reason;1;n;2;powód;przyczyna;rozum
relatively;1;adv;2;stosunkowo;wzglêdnie;
reliable;1;adj;2;niezawodny;solidny;wiarygodny
responsible for;1;adj;2;odpowiedzialny za;;
review;1;n;2;recenzja;;
self-confident;1;adj;2;pewny siebie;dufny;
semicircle;1;n;3;pó³kole;;
sensible;1;adj;2;rozs¹dny;sensowny;
sensitive;1;adj;2;wra¿liwy;czu³y;wyczulony
serious;1;adj;2;powa¿ny;;
several;1;adj;2;kilka;kilkanaœcie;
smart;1;adj;2;elegancki;sprytny;
sociable;1;adj;2;towarzyski;;
society;1;n;2;spo³eczeñstwo;towarzystwo;stowarzyszenie
spatial;1;adj;2;przestrzenny;;
strong-willed;1;adj;2;o silnej woli;;
suit;1;n;1;garnitur;kostium;
suitable;1;adj;2;odpowiedni;stosowny;
surrounding;1;adj;2;otaczaj¹cy;okoliczny;
sympathetic;1;adj;2;wspó³czuj¹cy;;
talkative;1;adj;1;gadatliwy;;
tax inspector;1;n;2;inspektor podatkowy;;
temporary;1;adj;2;tymczasowy;;
tension;1;n;3;napiêcie;naprê¿enie;
theory;1;n;1;teoria;;
thoughtful;1;adj;2;rozwa¿ny;zamyœlony;zadumany
to annoy;1;v;2;poirytowaæ;zdenerwowaæ;niepokoiæ
to associate;1;v;2;kojarzyæ;zrzeszaæ;
to astonish;1;v;3;zadziwiaæ;zaskakiwaæ;
to attend;1;v;2;uczestniczyæ;;
to attract;1;v;3;przyci¹gaæ;;
to avoid;1;v;2;unikaæ;;
to ban;1;v;2;zakazaæ;zabroniæ;
to base;1;v;2;opieraæ (siê);bazowaæ (na);
to broadcast;1;v;2;nadawaæ programy;;
to describe;1;v;1;opisaæ;;
to design;1;v;2;zaprojektowaæ;;
to disappear;1;v;2;znikaæ;;
to earn a living;1;v;2;zarabiaæ na ¿ycie;;
to equal;1;v;3;równaæ siê;dorównaæ;
to fade;1;v;3;bledn¹æ;blakn¹æ;gasnaæ
to get on with sb;1;v;3;uk³adaæ z kimœ wspó³pracê;dogadywaæ siê z kimœ;
to graduate;1;v;2;ukoñczyæ (naukê);;
to hire;1;v;2;wynaj¹æ;zatrudniæ;
to investigate;1;v;2;badaæ;prowadziæ œledztwo;
to lose temper;1;v;2;traciæ panowanie nad sob¹;;
to matter;1;v;1;mieæ znaczenie;liczyæ siê;
to measure;1;v;2;mierzyæ;;
to mention;1;v;1;wspomnieæ;nadmieniæ;
to misunderstand;1;v;2;Ÿle zrozumieæ;b³êdnie zrozumieæ;
to outperform;1;v;3;przewy¿szyæ (w dzia³aniu);;
to outrun;1;v;3;wyprzedziæ;zdystansowaæ;
to overshadow;1;v;3;przyæmiæ;;
to overtake;1;v;3;wyprzedzaæ;;
to own;1;v;1;posiadaæ;;
to recognise;1;v;1;rozpoznaæ;uznaæ;
to redefine;1;v;2;przedefiniowaæ;;
to reflect;1;v;2;odzwierciedlaæ;odbiæ;snuæ refleksje
to regret;1;v;1;¿a³owaæ;;
to relate;1;v;3;odnosiæ siê do;powi¹zaæ z czymœ;
to respond;1;v;2;odpowiadaæ;zareagowaæ;odezwaæ siê
to seem;1;v;2;wydawaæ siê;;
to solve;1;v;1;rozwi¹zaæ;;
to specialize;1;v;1;specjalizowaæ siê;;
to succeed;1;v;2;odnieœæ sukces;;
to tend;1;v;2;mieæ tendencjê;;
togetherness;1;n;2;wiêŸ;bycie razem;wspólnota
twin;1;n;1;bliŸniak;;
underrated;1;adj;3;niedoceniony;;
unpredictable;1;adj;2;nieprzewidywalny;nieobliczalny;
upset;1;adj;1;podenerwowany;;
vision;1;n;1;wizja;wzrok;widzenie
vital;1;adj;3;istotny;¿ywotny;
well-known;1;adj;1;dobrze znany;;
abbreviation;2;n;3;skrót;;
accommodation;2;n;2;zakwaterowanie;;
account;2;n;3;relacja, opis;sprawozdanie;
achievement;2;n;2;osi¹gniêcie;;
adventure;2;n;2;przygoda;;
aide;2;n;3;doradca, bliski wspó³pracownik;;
ancient;2;adj;2;staro¿ytny;;
bad luck;2;n;2;pech;;
benefit;2;n;2;korzyœæ;;
business trip;2;n;2;podró¿ s³u¿bowa;;
camel;2;n;1;wielb³¹d;;
charity;2;n;2;dzia³alnoœæ charytatywna;dobroczynnoœæ;
cheerfully;2;adv;2;pogodnie, weso³o;;
citizen;2;n;2;obywatel;;
coal;2;n;1;wêgiel;;
continent;2;n;1;kontynent;;
coral reef;2;n;2;rafa koralowa;;
crisp;2;adj;3;wysuszony, kruchy;;
custom;2;n;2;obyczaj;;
customs;2;n;3;odprawa celna;urz¹d celny;
dawn;2;n;3;œwit;;
delay;2;n;2;opóŸnienie;;
desert;2;n;2;pustynia;;
destination;2;n;2;punkt docelowy podró¿y;;
disaster;2;n;2;katastrofa;;
diver;2;n;2;nurek;;
documentary;2;n;2;film dokumentalny;;
dune;2;n;2;wydma;;
edge;2;n;2;krawêdŸ;;
embassy;2;n;2;ambasada;;
empire;2;n;2;cesarstwo;imperium;
exact;2;adj;2;dok³adny;;
faraway;2;adj;2;daleki, odleg³y;;
feedback;2;n;3;informacja zwrotna;;
fierce;2;adj;3;dziki, niebezpieczny;;
government;2;n;2;rz¹d (pañstwa);;
gunpowder;2;n;1;proch strzelniczy;;
height;2;n;2;wysokoœæ;;
holidaymaker;2;n;1;wczasowicz;;
important;2;adj;1;wa¿ny;;
inconvenience;2;n;3;niedogodnoœæ;niewygoda;
inevitable;2;adj;2;nieunikniony;;
inoculation;2;n;3;szczepienie;;
interview;2;n;2;wywiad z kimœ;;
inventor;2;n;2;wynalazca;;
length;2;n;2;d³ugoœæ;;
merchant;2;n;3;kupiec;;
navy;2;n;3;marynarka wojenna;;
package tour;2;n;2;wycieczka zorganizowana;;
phenomenon;2;n;3;zjawisko;;
plain;2;n;3;równina;;
prize;2;n;2;nagroda;;
raft;2;n;3;tratwa;;
relaxation;2;n;2;relaks;odpoczynek;
rural;2;adj;3;wiejski;;
salt-flat;2;n;3;s³ona pustynia;;
sand;2;n;1;piasek;;
scuba diving;2;n;3;nurkowanie z akwalungiem;;
seagull;2;n;3;mewa;;
shark;2;n;1;rekin;;
silk;2;n;2;jedwab;;
site;2;n;3;miejsce, plac;;
slope;2;n;3;stok;zbocze;
spare time;2;n;1;wolny czas;;
sunset;2;n;2;zachód s³oñca;;
suspiciously;2;adv;2;podejrzliwie;;
textile plant;2;n;2;zak³ad tekstylny;;
the Bedu;2;n;3;Beduini;;
theft;2;n;2;kradzie¿;;
tip;2;n;2;wskazówka, porada;napiwek;
to accuse sb of sth;2;v;3;oskar¿yæ kogoœ o coœ;;
to announce;2;v;2;og³osiæ, zapowiedzieæ;;
to attempt;2;v;2;usi³owaæ;;
to be hooked;2;v;3;po³kn¹æ haczyk;;
to blame;2;v;2;winiæ kogoœ;;
to border;2;v;2;graniczyæ ;;
to broaden;2;v;2;poszerzyæ;;
to cancel;2;v;2;odwo³aæ coœ;;
to carry on;2;v;2;kontynuowaæ;;
to drip;2;v;3;kapaæ;;
to explore;2;v;3;zwiedzaæ;badaæ;
to feed;2;v;2;karmiæ;;
to find out;2;v;3;dowiedzieæ siê;;
to fire sb;2;v;2;zwolniæ kogoœ z pracy;;
to focus on;2;v;2;skupiaæ siê na czymœ;;
to give up;2;v;2;zaniechaæ czegoœ, porzuciæ;;
to inhabit;2;v;2;zamieszkiwaæ;;
to lift off;2;v;3;wystartowaæ (o rakiecie);;
to obtain;2;v;2;uzyskaæ;;
to parachute;2;v;3;skakaæ ze spadochronem;;
to praise;2;v;2;chwaliæ kogoœ;;
to reach;2;v;2;osi¹gn¹æ, dotrzeæ;;
to realise;2;v;2;uœwiadomiæ sobie;;
to sail;2;v;2;¿eglowaæ;;
to set out;2;v;3;wyruszyæ;;
to stop off;2;v;3;zatrzymaæ siê po drodze;przerwaæ podró¿;
to stretch;2;v;3;rozci¹gaæ (siê);;
to take off;2;v;2;startowaæ (o samolocie);;
trap;2;n;2;pu³apka;;
treasure;2;n;2;skarb;;
urge;2;n;3;pragnienie, chêæ;;
varied;2;adj;2;zró¿nicowany;;
vast;2;adj;2;rozleg³y;;
violence;2;n;2;przemoc;;
volunteer;2;n;2;ochotnik;;
whale;2;n;1;wieloryb;;
youth hostel;2;n;2;schronisko m³odzie¿owe;;
access;3;n;2;dostêp;;
annual;3;adj;2;coroczny;;
approximately;3;adv;2;w przybli¿eniu, oko³o;;
availability;3;n;2;dostêpnoœæ;;
blank;3;adj;2;niewype³niony, pusty;;
bonus;3;n;1;premia;;
broadband;3;adj;2;szerokopasmowy;;
budget;3;n;1;bud¿et;;
challenging;3;adj;2;stanowi¹cy wyzwanie;;
circumstance;3;n;3;okolicznoœæ;;
colleague;3;n;2;kolega z pracy;;
competitive salary;3;n;2;konkurencyjne wynagrodzenie;;
complaint;3;n;2;skarga, reklamacja;;
convenient;3;adj;2;dogodny;;
covering letter;3;n;3;list przewodni;;
curriculum vitae;3;n;3;¿yciorys;;
delighted;3;adj;2;zachwycony;;
designer;3;n;2;projektant;;
desirable;3;adj;2;po¿¹dany;;
dietician;3;n;3;dietetyk;;
dozen;3;n;2;tuzin;;
duty;3;n;1;obowi¹zek;;
effectively;3;adv;2;skutecznie;;
employer;3;n;1;pracodawca;;
evaluation;3;n;2;ocena;;
experience;3;n;2;doœwiadczenie;;
factsheet;3;n;2;broszura informacyjna;;
familiar with;3;adj;2;zaznajomiony, obeznany z;;
firefighter;3;n;1;stra¿ak;;
flexible;3;adj;2;elastyczny;;
fluently;3;adv;2;p³ynnie;;
freelance;3;adj;2;niezale¿ny;do wynajêcia;wolny strzelec
full-time;3;adj;2;pe³no-etatowy;;
glamorous;3;adj;2;wytworny, presti¿owy;;
gossip;3;n;2;plotka;;
graduate;3;n;2;absolwent;;
heating;3;n;1;ogrzewanie;;
hint;3;n;3;wskazówka, podpowiedŸ;;
industry;3;n;2;przemys³;;
job interview;3;n;1;rozmowa kwalifikacyjna;;
journalist;3;n;1;dziennikarz;;
lawyer;3;n;2;prawnik;;
leaflet;3;n;2;ulotka;;
leisure;3;n;2;czas wolny, wypoczynek;;
objective;3;n;2;cel;;
opportunity;3;n;2;sposobnoœæ, okazja;;
outgoing;3;adj;2;otwarty, towarzyski;;
part-time;3;adj;2;niepe³noetatowy;;
pension;3;n;3;emerytura;;
perk;3;n;3;dodatek niepieniê¿ny;œwiadczenie pozap³acowe;
point of view;3;n;2;punkt widzenia;;
pointless;3;adj;2;bezcelowy, bezsensowny;;
query;3;n;3;zapytanie;;
rapid;3;adj;2;nag³y;;
retail;3;adj;3;detaliczny;;
rewarding;3;adj;2;op³acalny, cenny;;
runner;3;n;2;goniec;;
sales manager;3;n;1;kierownik sprzeda¿y;;
share;3;n;2;udzia³;;
shift;3;n;2;zmiana robocza, szychta;;
shortly;3;adv;3;wkrótce, niebawem;;
skyscraper;3;n;2;drapacz chmur;;
status;3;n;1;status;;
stock market;3;n;3;gie³da papierów wartoœciowych;;
stunt double;3;n;2;kaskader;;
supplier;3;n;2;dostawca;;
support;3;n;2;wsparcie;;
surgeon;3;n;2;chirurg;;
survey;3;n;3;sonda¿;;
tan;3;n;2;opalenizna;;
time-consuming;3;adj;3;czasoch³onny;;
to appreciate;3;v;2;doceniaæ;;
to commute;3;v;2;doje¿d¿aæ do pracy;;
to contain;3;v;2;zawieraæ;;
to divide;3;v;2;podzieliæ;;
to emphasise;3;v;3;k³aœæ nacisk, podkreœlaæ;;
to expect;3;v;2;oczekiwaæ;;
to gain;3;v;2;zyskaæ, osi¹gn¹æ;;
to hesitate;3;v;2;wahaæ siê;;
to highlight;3;v;3;podkreœlaæ, uwydatniaæ;;
to impress;3;v;2;wywrzeæ wra¿enie, imponowaæ;;
to improve;3;v;2;udoskonaliæ;;
to inspire;3;v;1;inspirowaæ;;
to seek;3;v;2;szukaæ;;
work placement;3;n;3;praktyka studencka, sta¿;;
accent;4;n;1;akcent;;
accommodation;4;n;2;zakwaterowanie;;
adjective;4;n;2;przymiotnik;;
adverb;4;n;2;przys³ówek;;
affair;4;n;2;sprawa;;
approximately;4;adv;3;w przybli¿eniu;;
arrangement;4;n;2;ustalenie;;
backgammon;4;n;3;tryktrak;;
bar chart;4;n;3;wykres s³upkowy;;
benefit;4;n;2;korzyœæ;;
bilingual;4;adj;2;dwujêzyczny;;
board game;4;n;2;gra planszowa;;
brief;4;adj;2;zwiêz³y, krótki;;
case study;4;n;3;studium przypadku;;
charity;4;n;2;organizacja dobroczynna;;
chess;4;n;2;szachy;;
community;4;n;2;spo³ecznoœæ, wspólnota;;
confusing;4;adj;2;zagmatwany, myl¹cy;;
convenience;4;n;3;dogodnoœæ;;
crash course;4;n;3;intensywny kurs;;
dialect;4;n;1;dialekt;;
disaster;4;n;2;katastrofa;;
earthquake;4;n;2;trzêsienie ziemi;;
economy;4;n;2;gospodarka;;
effort;4;n;2;wysi³ek;;
entire;4;adj;2;ca³y, ca³kowity;;
environment;4;n;2;œrodowisko;;
essential;4;adj;3;istotny;;
event;4;n;2;wydarzenie;;
extinction;4;n;3;wyginiêcie, wymarcie;;
facility;4;n;3;udogodnienie;;
figures;4;n;2;dane liczbowe;;
fluently;4;adv;2;p³ynnie, biegle;;
foreign language;4;n;2;jêzyk obcy;;
fundraiser;4;n;3;osoba kwestuj¹ca;;
government;4;n;2;rz¹d pañstwa;;
handful;4;n;2;garstka;;
high flyer;4;n;3;osoba o wysokich aspiracjach;;
human race;4;n;2;rasa ludzka, ludzkoœæ;;
identity;4;n;2;to¿samoœæ;;
industry;4;n;2;przemys³;;
intention;4;n;1;intencja;;
Latin;4;n;2;³acina;;
lecture;4;n;2;wyk³ad;;
literacy;4;n;2;umiejêtnoœæ czytania i pisania;;
majority;4;n;2;wiêkszoœæ;;
mammal;4;n;3;ssak;;
minority;4;n;2;mniejszoœæ;;
motion;4;n;3;wniosek formalny;;
musical;4;adj;1;muzyczny;;
native speaker;4;n;3;rodzimy u¿ytkownik jêzyka;;
noun;4;n;1;rzeczownik;;
oil;4;n;2;ropa;olej;
old-fashioned;4;adj;2;staromodny;;
opinion poll;4;n;3;sonda¿ opinii;;
outline;4;n;3;zarys;;
package;4;n;2;pakiet;;
point of view;4;n;2;punkt widzenia;;
postgraduate studies;4;adj;2;studia magisterskie;studia podyplomowe;
prediction;4;n;2;przewidywanie;;
pronunciation;4;n;2;wymowa;;
properly;4;adv;2;w³aœciwie, poprawnie;;
proposal;4;n;2;propozycja;;
purpose;4;n;2;cel;;
reason;4;n;2;powód;;
revival;4;n;3;odrodzenie, o¿ywienie;;
rural;4;adj;3;wiejski;;
senior position;4;n;2;stanowisko kierownicze;;
seriously;4;adv;2;powa¿nie;;
significant;4;adj;2;znacz¹cy, znaczny;;
slang;4;n;1;slang;;
slightly;4;adv;2;nieznacznie;;
spelling;4;n;1;ortografia, pisownia;;
spokesperson;4;n;3;rzecznik;;
staff;4;n;2;kadra, personel;;
tidal wave;4;n;3;fala przyp³ywu;;
to adapt;4;v;1;zaadaptowaæ (siê);;
to affect;4;v;2;wp³ywaæ na coœ, oddzia³ywaæ;;
to aim at sb;4;v;2;celowaæ, kierowaæ do kogoœ;;
to allow;4;v;2;pozwoliæ;;
to carry out;4;v;3;przeprowadziæ coœ;;
to catch on;4;v;3;zrozumieæ, za³apaæ;;
to challenge;4;v;2;rzuciæ wyzwanie;;
to claim;4;v;2;twierdziæ;;
to conduct;4;v;2;przeprowadziæ coœ;;
to delay;4;v;2;zwlekaæ, opóŸniaæ;;
to devastate;4;v;2;spustoszyæ, zdewastowaæ;;
to die out;4;v;2;wymieraæ, wygin¹æ;;
to disappoint;4;v;2;rozczarowaæ;;
to draw;4;v;2;rysowaæ;;
to encourage;4;v;2;zachêcaæ;;
to establish;4;v;2;stworzyæ, za³o¿yæ, ustanowiæ;;
to estimate;4;v;2;szacowaæ;;
to fail;4;v;2;zawieœæ;nie zdaæ;
to fall behind;4;v;3;zostawaæ w tyle;;
to get by;4;v;3;prze¿yæ, poradziæ sobie;;
to keep up with sb;4;v;3;nad¹¿aæ za kimœ, dorównaæ;;
to let sb down;4;v;2;zawieœæ;;
to permit;4;v;2;zezwoliæ;;
to pick sth up;4;v;3;³atwo siê czegoœ nauczyæ ;;
to prevent;4;v;2;zapobiegaæ;;
to refer;4;v;2;odnosiæ siê do, nawi¹zywaæ;;
to reject;4;v;2;odrzuciæ;;
to suffer;4;v;2;cierpieæ;;
to survive;4;v;2;prze¿yæ, przetrwaæ;;
to take sth up;4;v;3;zaj¹æ siê czymœ;;
trace;4;n;2;œlad;;
verb;4;n;1;czasownik;;
waltz;4;n;1;walc;;
waste of time;4;n;2;strata czasu;;
adult;5;n;2;doros³y;;
advert;5;n;2;reklama;;
advertiser;5;n;2;reklamodawca;;
alternative;5;n;2;alternatywa;;
amusing;5;adj;2;zabawny, rozbawiaj¹cy;;
antique;5;adj;1;antyczny;;
attention;5;n;2;uwaga;;
attention-grabbing;5;adj;3;przykuwaj¹cy uwagê;;
background;5;n;2;t³o;;
belief;5;n;2;przekonanie;;
brainstorm;5;n;2;burza mózgów;;
brand;5;n;3;marka (produktu);;
campaign;5;n;1;kampania;;
carton;5;n;2;karton;;
cartoon;5;n;2;kreskówka;;
catchy;5;adj;2;chwytliwy;;
cereal;5;n;2;p³atki œniadaniowe;;
chase;5;n;3;poœcig, pogoñ;;
choice;5;n;2;wybór;;
classified ad;5;n;3;og³oszenie drobne;;
clever;5;adj;2;sprytny;;
code;5;n;2;kodeks;kod;
commercial;5;n;2;reklama radiowo-telewizyjna;;
common;5;adj;2;wspólny;;
competitor;5;n;3;konkurent;;
concern;5;n;2;troska;zaniepokojenie;
conduct;5;n;2;zachowanie;;
confectionery;5;n;3;s³odycze;;
consumer;5;n;1;konsument;;
content;5;n;2;zawartoœæ;;
creative;5;adj;1;kreatywny;;
critical;5;adj;1;krytyczny;;
desire;5;n;2;pragnienie, ¿¹dza;;
distant;5;adj;2;odleg³y;;
dull;5;adj;2;têpy, nudny;;
editor;5;n;2;wydawca;;
eye-catching;5;adj;3;przyci¹gaj¹cy wzrok;;
fat;5;n;2;t³uszcz;;
formula;5;n;1;formu³a;;
gimmicky;5;adj;3;efekciarski;;
handbill;5;n;3;ulotka;;
hard-hitting;5;adj;3;drastyczny;twardy, bezkompromisowy;
harmful;5;adj;2;szkodliwy;;
household good;5;n;3;artyku³ gospodarstwa domowego;;
image;5;n;3;wizerunek;;
imagination;5;n;2;wyobraŸnia;;
immediately;5;adv;2;natychmiast;;
indecision;5;n;3;niezdecydowanie;;
inscription;5;n;3;napis;;
inspirational;5;adj;2;inspiruj¹cy;;
intriguing;5;adj;2;intryguj¹cy;;
irritating;5;adj;2;irytuj¹cy;;
junk food;5;n;2;œmieciowe jedzenie;;
lively;5;adj;3;¿wawy, pe³en ¿ycia;;
logo;5;n;1;logo;;
mainly;5;adv;2;g³ównie;;
manufacturer;5;n;2;wytwórca;;
medium;5;n;1;medium, noœnik;;
memorable;5;adj;2;pamiêtny;niezapomniany;
message;5;n;2;przes³anie;wiadomoœæ;
method;5;n;1;metoda;;
misleading;5;adj;2;myl¹cy, wprowadzaj¹cy w b³¹d;;
mixture;5;n;2;mieszanka;;
noticeable;5;adj;2;zauwa¿alny;;
packaging;5;n;2;opakowanie;;
papyrus;5;n;1;papirus;;
period;5;n;2;okres;;
