WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
skrót;2;n;3;abbreviation;;
akcent;1;n;1;accent;;
wypadek;1;n;1;accident;;
zakwaterowanie;2;n;2;accommodation;;
wed³ug;1;adv;2;according to;;
relacja, opis;2;n;3;account;sprawozdanie;
dok³adny;1;adj;2;accurate;poprawny;
osi¹gniêcie;2;n;2;achievement;;
przymiotnik;1;n;2;adjective;;
przygoda;2;n;2;adventure;;
¿¹dny przygód;1;adj;2;adventurous;awanturniczy;
przys³ówek;2;n;3;adverb;;
porada;1;n;2;advice;;
w wieku...;1;adj;2;aged;;
agresywny;1;adj;1;aggressive;;
pomocnik;2;n;3;aide;doradca, bliski wspó³pracownik;
chocia¿;1;adv;3;although;;
zdumiewaj¹cy;2;adj;2;amazing;;
ambitny;1;adj;1;ambitious;;
iloœæ;1;n;2;amount;;
staro¿ytny;2;adj;2;ancient;;
w³aœciwy;1;adj;2;appropriate;;
argument;1;n;1;argument;;
przedimek;2;n;3;article;;
sztuczny;1;adj;2;artificial;;
asertywny;1;adj;1;assertive;;
stowarzyszenie;1;n;3;association;;
postawa;1;n;3;attitude;podejœcie;nastawienie
autorytet, w³adza;1;n;2;authority;;
pomocniczy;1;adj;3;auxiliary;posi³kowy;
lotnictwo;2;n;2;aviaton;;
œwiadomoœæ;1;n;2;awareness;;
korzyœæ;2;n;2;benefit;;
w³adczy;1;adj;2;bossy;apodyktyczny;
krótko;2;adv;2;briefly;;
podró¿ s³u¿bowa;2;n;2;business trip;;
spokojny;1;adj;2;calm;;
wielb³¹d;2;n;1;camel;;
gotówka;2;n;2;cash;;
niedbale;1;adv;3;casually;na luzie;
kategoria;2;n;1;category;;
ostro¿ny;1;adj;2;cautious;;
znana osoba;1;n;2;celebrity;;
centralny;1;adj;1;central;;
pora¿enie mózgowe;1;n;3;cerebral palsy;;
z pewnoœci¹;1;adv;2;certainly;;
charyzma;1;n;2;charisma;;
pogodnie, weso³o;2;adv;2;cheerfully;;
wybór;1;n;2;choice;;
obywatel;2;n;2;citizen;;
prawa obywatelskie;1;n;3;civil rights;;
ubranie;1;n;1;clothes;;
p³aszcz;1;n;1;coat;;
komfortowy;1;adj;1;comfortable;;
zaanga¿owany;1;adj;3;committed;;
firma;1;n;1;company;;
kompetentny;1;adj;1;competent;;
rywalizuj¹cy;1;adj;2;competitive;;
spójnik;2;n;3;conjunction;;
kontrowersyjny;1;adj;1;controversial;;
rafa koralowa;2;n;2;coral reef;;
odwaga;1;n;2;courage;;
