WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
ability;1;n;1;zdolność;umiejętność;
able;1;adj;1;zdolny;zdatny;
accurate;1;adj;2;dokładny;trafny;
advantage;1;n;1;zaleta;przewaga;
adventurous;1;adj;2;żądny przygód;awanturniczy;śmiały
ambitious;1;adj;1;ambitny;;
anticipation;1;n;2;przewidywanie;oczekiwanie;
appearance;1;n;2;wygląd;pojawienie się;
approach;1;n;2;podejście;zbliżenie się;
assertive;1;adj;2;asertywny;;
attitude;1;n;2;postawa;stosunek;nastawienie
audience;1;n;2;widownia;publiczność;
auxiliary;1;adj;2;pomocniczy;posiłkowy;
awareness;1;n;2;świadomość;;
basically;1;adv;2;w zasadzie;gruntownie;przede wszystkim
bilingual;1;adj;3;dwujęzyczny;;
bossy;1;adj;2;władczy;apodyktyczny;
brilliant;1;adj;2;błyskotliwy;znakomity;
casually;1;adv;2;niedbale;swobodnie;mimochodem
cautious;1;adj;2;ostrożny;przezorny;
certain;1;adj;1;pewny;pewien;
correctly;1;adv;1;prawidłowo;poprawnie;dobrze
curious;1;adj;2;zaciekawiony;ciekawski;
currently;1;adv;2;obecnie;bieżąco;
customer;1;n;2;klient;;
cyclist;1;n;2;rowerzysta;;
developed;1;adj;1;rozwinięty;rozbudowany;
distracted;1;adj;3;zdekoncentrowany;rozkojarzony;
easy-going;1;adj;2;wyluzowany;zrelaksowany;wyrozumiały
effort;1;n;2;wysiłek;;
employee;1;n;3;pracobiorca;pracownik;
employer;1;n;2;pracodawca;;
enormous;1;adj;2;ogromny;olbrzymi;astronomiczny
essential;1;adj;3;zasadniczy;istotny;
even-tempered;1;adj;3;zrównoważony;opanowany;
excitement;1;n;2;podniecenie;podekscytowanie;
extraordinary;1;adj;2;niezwykły;nadzwyczajny;zadziwiający
fame;1;n;1;sława;rozgłos;
fault;1;n;2;wina;wada;
female;1;adj;1;żeński;;
few;1;adv;1;niewiele;;
film director;1;n;1;reżyser filmowy;;
former leader;1;n;2;były przywódca;;
generous;1;adj;2;hojny;szczodry;wspaniałomyślny
gradually;1;adv;2;stopniowo;;
