WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
aeronautical engineering;1;n;2;technika lotnicza;;
aircraft maintenance;1;n;2;obsługa samolotu;;
apprentice;1;n;2;praktykant;uczeń rzemieślnika;
apprenticeship;1;n;2;praktyka zawodowa;nauka rzemiosła;terminowanie
automotive engineering;1;n;2;technika samochodowa;;
broad;1;adj;1;szeroki;;
choice;1;n;1;wybór;;
civil engineering ;1;n;2;budownictwo lądowe;budownictwo lądowe i wodne;inżynieria lądowa i wodna
computer-aided design ;1;n;2;projektowanie wspomagane komputerowo;;
computer-aided draughting ;1;n;3;kreślenie wspomagane komputerowo;;
course;1;n;1;kurs;;
degree;1;n;1;stopień;;
device;1;n;2;urządzenie;;
digital;1;adj;2;cyfrowy;;
electrical engineering ;1;n;2;energetyka;elektrotechnika;
electricity;1;n;1;elektryczność;;
electronics;1;n;1;elektronika;;
environment;1;n;2;środowisko;;
fault;1;n;2;usterka;wada;skaza
fitter;1;n;3;monter;;
focus;1;n;2;skupienie;ogniskowa;
gas turbine engine ;1;n;3;silnik turbospalinowy;;
graduate;1;n;1;absolwent;;
haphazard;1;adj;3;przypadkowy;;
information technology;1;n;2;informatyka;;
knowledge;1;n;2;wiedza;;
manufacturing engineering ;1;n;3;technologia produkcji;technologia wytwarzania;
marine technology;1;n;3;technika okrętowa;;
network computing ;1;n;2;przetwarzanie sieciowe;;
ordnance;1;n;3;uzbrojenie;;
prior;1;adj;2;uprzedni;wcześniejszy;
propeller;1;n;3;śmigło;śruba napędowa;
quality assurance;1;n;3;kontrola jakości;;
skilled;1;adj;2;wykwalifikowany;;
subject;1;n;1;przedmiot studiów;;
sustained growth;1;n;3;stabilny rozwój;;
team leader;1;n;3;brygadzista;;
technician;1;n;2;technik;;
to assess;1;v;3;oceniać;szacować;
to charge;1;v;2;ładować;;
to do research;1;v;1;prowadzić badania;;
to earn;1;v;1;zarabiać;;
to include;1;v;1;zawierać w sobie;;
to obtain;1;v;2;uzyskać;;
to promote;1;v;2;awansować kogoś;;
to propel;1;v;3;napędzać;;
to replace;1;v;2;zastąpić;wymienić część;
to supervise;1;v;3;nadzorować;;
transmission;1;n;1;transmisja;;
variable;1;n;3;zmienna;;
vehicle maintenance and repair;1;n;2;konserwacja i naprawa pojazdów;;
vocational;1;adj;2;zawodowy;;
workshop;1;n;2;warsztat;;
amount;2;n;1;ilość;;
application;2;n;2;zastosowanie;;
apricot;2;n;1;morela;;
aquifer;2;n;3;warstwa wodonośna;;
barbed wire;2;n;2;drut kolczasty;;
batch;2;n;3;partia, seria;;
benzoate;2;n;3;benzoesan;;
bottle stopper;2;n;2;zamykacz do butelki;;
bundle;2;n;2;snopek;pęczek;
bung;2;n;3;zatyczka;;
canning;2;n;2;puszkowanie;;
chloride;2;n;3;chlorek;;
chlorophyll;2;n;3;chlorofil;;
cork;2;n;1;korek;;
cotton gin;2;n;3;odziarniarka;;
crop;2;n;1;uprawa;;
dehydration;2;n;2;odwodnienie;;
demand;2;n;2;popyt;;
depth;2;n;2;głębokość;;
destructive testing;2;n;2;testowanie zniszczeniowe;;
discharge pipe;2;n;3;wylewka;;
drawback;2;n;1;wada;;
drawbar;2;n;3;sprzęg;;
dull;2;adj;2;matowy;;
efficient;2;adj;2;wydajny;;
effort;2;n;2;wysiłek;;
entrepreneurial;2;adj;3;przedsiębiorczy;;
eventually;2;adv;2;w końcu;ostatecznie;
fabric;2;n;2;tkanina;;
fertilizer;2;n;2;nawóz;;
firmness;2;n;2;twardość;;
food preservation;2;n;2;konserwacja żywności;;
frontier;2;n;2;granica;;
grain;2;n;2;zboże;ziarno;
hairpin;2;n;1;szpilka do włosów;;
handle;2;n;2;rączka, uchwyt;klamka;
herbicide;2;n;2;środek chwastobójczy;;
horsepower;2;n;2;koń mechaniczny;;
hose;2;n;2;wąż (gumowy);;
hull;2;n;3;szypułka;;
hydraulic lift;2;n;2;podnośnik hydrauliczny;;
implement;2;n;3;przyrząd;narzędzie;
labour;2;n;1;praca;;
manure spreader;2;n;3;roztrząsacz obornika;;
nitrate;2;n;3;azotan;;
peach;2;n;1;brzoskwinia;;
pesticide;2;n;1;pestycyd;;
pile;2;n;2;stóg;stos;sterta
piston;2;n;3;tłok cylindra;;
poverty;2;n;2;ubóstwo;bieda;
power take-off shaft;2;n;3;wał odbioru mocy;;
pulley;2;n;3;bloczek;koło pasowe;
rainfall;2;n;1;opady deszczu;;
reaper;2;n;3;żniwiarka;;
recyclable;2;adj;2;dający się powtórnie przetworzyć;;
reliance;2;n;2;poleganie na czymś;;
resealable;2;adj;2;dający się powtórnie szczelnie zamknąć;;
rope;2;n;1;lina;sznur;
row;2;n;2;rządek;;
sample;2;n;2;próbka;;
screwtop;2;n;2;zakrętka;;
sealing;2;n;2;pakowanie hermetyczne;;
seed drill;2;n;3;siewnik;;
shortage;2;n;2;niedobór;brak;
sliced bread;2;n;1;chleb krojony;;
sodium;2;n;3;sód;;
soil;2;n;2;gleba;;
step;2;n;1;krok;;
sulphite;2;n;3;siarczyn;;
to assume;2;v;2;zakładać, przypuszczać ;;
to boil;2;v;2;wrzeć;;
to bounce back;2;v;2;odbijać się;;
to cultivate;2;v;2;uprawiać;;
