WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3;USE1;USE2;USE3
abroad;2;adv;2;za granic¹;;;;;
actor;1;n;1;aktor;;;;;
actress;1;n;1;aktorka;;;;;
actually;1;adv;2;w³aœciwie;;;;;
adult;1;n;2;doros³y;;;;;
advert;2;n;2;og³oszenie;;;;;
afternoon;1;n;1;popo³udnie;;;;;
age;2;n;2;wiek;;;;;
airport;2;n;2;lotnisko;;;;;
aloud;1;adv;2;na g³os, g³oœno;;;;;
always;1;adv;1;zawsze;;;;;
ambassador;1;n;2;ambasador;;;;;
ambition;1;n;2;ambicja;;;;;
analogue;2;adj;3;analogowy;;;;;
angry;2;adj;2;z³y;;;;;
answer;1;n;1;odpowiedŸ;;;;;
ape;1;n;2;ma³pa;;;;;
apple;1;n;1;jab³ko;;;;;
approximate;1;adj;3;przybli¿ony;;;;;
arm;1;n;1;ramiê;;;;;
article;1;n;2;artyku³;;;;;
at all;2;adv;3;w ogóle;;;;;
at least;1;adv;2;przynajmniej;;;;;
August;1;n;1;sierpieñ;;;;;
average;1;adj;2;przeciêtny;;;;;
award;2;n;3;nagroda;;;;;
backgammon;1;n;3;tryk-trak (gra planszowa);;;;;
bandana bag;1;n;3;torba p³ócienna;;;;;
bank;1;n;1;bank;;;;;
baseball;1;n;2;bejsbol;;;;;
basket;1;n;1;kosz;;;;;
basketball;1;n;2;koszykówka;;;;;
bay;2;n;3;zatoka;;;;;
beach;2;n;2;pla¿a;;;;;
bed;1;n;1;³ó¿ko;;;;;
below;1;adv;2;poni¿ej;;;;;
birthday;1;n;2;urodziny;;;;;
black;1;adj;1;czarny;;;;;
board game;1;n;2;gra planszowa;;;;;
boarding pass;1;n;3;karta pok³adowa;;;;;
body;1;n;1;cia³o;;;;;
bold;1;adj;3;pogrubiony;œmia³y;;;;
bored;2;adj;2;znudzony;;;;;
born;1;adj;1;urodzony;;;;;
bowling;1;n;3;krêglarstwo;;;;;
bracket;1;n;2;nawias;;;;;
brawl;1;n;3;rozróba;bójka;;;;
breakfast;1;n;1;œniadanie;;;;;
brief;1;adj;3;zwiêz³y;krótki;;;;
brilliant;2;adj;3;b³yskotliwy;;;;;
British;2;adj;1;brytyjski;;;;;
broom;1;n;2;miot³a;;;;;
business trip;2;n;3;podró¿ s³u¿bowa;;;;;
button;1;n;2;guzik;;;;;
card;1;n;1;karta;;;;;
case;1;n;2;przypadek;;;;;
centre;2;n;2;centrum;;;;;
century;1;n;2;stulecie;;;;;
championship;1;n;2;mistrzostwo;;;;;
chance;1;n;2;szansa;los;;;;
channel;1;n;2;kana³;;;;;
chef;2;n;2;szef kuchni;;;;;
chess;1;n;3;szachy;;;;;
child;2;n;1;dziecko;;;;;
cinema;1;n;2;kino;;;;;
class;1;n;1;zajêcia, lekcja;klasa, typ;;;;
classical music;1;n;2;muzyka klasyczna;;;;;
coffee;1;n;1;kawa;;;;;
college;1;n;2;szko³a pomaturalna, kolegium;;;;;
colour;1;n;1;kolor;;;;;
common;1;adj;2;wspólny;pospolity;;;;
communication;2;n;1;komunikacja;;;;;
community;1;n;2;spo³ecznoœæ;;;;;
company;2;n;2;firma;;;;;
consequence;2;n;2;konsekwencja;;;;;
control;1;n;2;kontrola;;;;;
conversation;2;n;1;konwersacja;;;;;
cookery;2;n;3;sztuka gotowanie;kuchnia;;;;
correct;1;adj;1;poprawny;;;;;
cost;2;n;1;koszt;;;;;
country;1;n;1;kraj;;;;;
course;1;n;2;kurs;;;;;
culture;1;n;2;kultura;;;;;
dance;1;n;1;taniec;;;;;
dark;1;adj;1;ciemny;;;;;
death;2;n;2;œmieræ;;;;;
departure;2;n;3;odlot;odjazd;;;;
dice;1;n;3;kostka do gry;;;;;
different;1;adj;2;ró¿ny;;;;;
difficult;1;adj;2;trudny;;;;;
digital;2;adj;2;cyfrowy;;;;;
dinosaur;2;n;3;dinozaur;;;;;
disappointed;2;adj;3;rozczarowany;;;;;
distance;2;n;2;dystans;odleg³oœæ;;;;
downside;1;n;3;wada;minus;;;;
early;1;adv;2;wczeœnie;;;;;
electronic;2;adj;1;elektroniczny;;;;;
embarrassed;2;adj;3;zak³opotany;;;;;
emperor;1;n;2;cesarz;;;;;
engineer;2;n;2;in¿ynier;;;;;
equipment;1;n;2;sprzêt;;;;;
especially;1;adv;2;zw³aszcza;szczególnie;;;;
even;2;adv;2;nawet;;;;;
event;1;n;2;wydarzenie;;;;;
exactly;1;adv;2;dok³adnie;;;;;
exam;2;n;2;egzamin;;;;;
example;1;n;2;przyk³ad;;;;;
except;2;adv;3;oprócz;;;;;
excited;1;adj;2;podekscytowany;przejêty;;;;
exercise;1;n;1;æwiczenie;;;;;
expensive;1;adj;2;kosztowny;drogi;;;;
extract;2;n;3;urywek;fragment;;;;
family;1;n;1;rodzina;;;;;
famous;1;adj;2;s³awny;;;;;
fast;1;adj;2;szybki;;;;;
favourite;1;adj;1;ulubiony;;;;;
feeling;2;n;1;uczucie;;;;;
female;2;adj;2;¿eñski;;;;;
film director;2;n;2;re¿yser;;;;;
finally;2;adv;3;w koñcu;;;;;
first;1;adj;1;pierwszy;;;;;
flight;2;n;2;lot;;;;;
follower;1;n;3;zwolennik;;;;;
following;2;adj;3;nastêpuj¹cy;;;;;
food;1;n;1;¿ywnoœæ;;;;;
football;1;n;1;futbol;;;;;
frequency;1;n;3;czêstotliwoœæ;;;;;
fresh;1;adj;2;œwie¿y;;;;;
friend;1;n;1;przyjaciel;;;;;
fun;1;n;1;zabawa;;;;;
funny;2;adj;1;zabawny;;;;;
furniture;1;n;2;meble;;;;;
future;1;n;2;przysz³oœæ;;;;;
game;1;n;1;gra;;;;;
German;2;adj;1;niemiecki;;;;;
global;1;adj;2;globalny;;;;;
glossary;1;n;3;s³owniczek;;;;;
gold;2;n;1;z³oto;;;;;
golf;1;n;1;golf;;;;;
government;1;n;2;rz¹d (pañstwa);;;;;
grammar;1;n;2;gramatyka;;;;;
gym;1;n;2;sala gimnastyczna;;;;;
habit;1;n;2;nawyk;;;;;
handle;1;n;2;uchwyt;stylisko;r¹czka;;;
head teacher;1;n;3;dyrektor szko³y;;;;;
hero;1;n;2;bohater;;;;;
high;1;adj;1;wysoki;;;;;
history;1;n;1;historia;;;;;
hockey;1;n;2;hokej;;;;;
hole;1;n;2;dziura;;;;;
holiday;2;n;1;wakacje;;;;;
hospital;1;n;1;szpital;;;;;
hot;2;adj;1;gor¹cy;;;;;
hour;1;n;1;godzina;;;;;
however;1;adv;3;jednak;;;;;
huge;1;adj;2;olbrzymi;;;;;
hundred;1;n;1;sto;;;;;
ice-skater;1;n;2;³y¿wiarz;;;;;
idea;1;n;2;pomys³;;;;;
immigrant;1;n;2;imigrant;;;;;
immigration officer;2;n;3;urzêdnik biura imigracyjnego;;;;;
immortal;1;adj;3;nieœmiertelny;;;;;
important;1;adj;2;wa¿ny;;;;;
India;1;n;2;Indie;;;;;
infinitive;2;n;2;bezokolicznik;;;;;
information;2;n;1;informacja;;;;;
injury;1;n;3;kontuzja;;;;;
interest;1;n;1;zainteresowanie;;;;;
interesting;1;adj;1;interesuj¹cy;;;;;
international;1;adj;2;miêdzynarodowy;;;;;
interview;1;n;2;wywiad;;;;;
invention;2;n;2;wynalazek;;;;;
inventor;2;n;2;wynalazca;;;;;
irregular;2;adj;2;nieregularny;;;;;
island;2;n;2;wyspa;;;;;
Italian;1;adj;2;w³oski;;;;;
Japanese;2;adj;2;japoñski;;;;;
job;1;n;2;zawód;praca, zajêcie;;;;
journey;1;n;2;podró¿;;;;;
judge;1;n;2;sêdzia;;;;;
kind;1;n;1;rodzaj;;;;;
language;1;n;2;jêzyk;;;;;
large;1;adj;2;du¿y;;;;;
late;1;adj;2;spóŸniony;;;;;
league;1;n;2;liga;;;;;
leisure;1;n;2;czas wolny;;;;;
lesson;1;n;1;lekcja;;;;;
letter;1;n;1;litera;list;;;;
