WORD;;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
zdolnoœæ;;1;n;1;ability;umiejêtnoœæ;
zdolny;;1;adj;1;able;zdatny;
dok³adny;;1;adj;2;accurate;trafny;
zaleta;;1;n;1;advantage;przewaga;
¿¹dny przygód;;1;adj;2;adventurous;awanturniczy;œmia³y
ambitny;;1;adj;1;ambitious;;
przewidywanie;;1;n;2;anticipation;oczekiwanie;
wygl¹d;;1;n;2;appearance;pojawienie siê;
podejœcie;;1;n;2;approach;zbli¿enie siê;
asertywny;;1;adj;2;assertive;;
postawa;;1;n;2;attitude;stosunek;nastawienie
widownia;;1;n;2;audience;publicznoœæ;
pomocniczy;;1;adj;2;auxiliary;posi³kowy;
œwiadomoœæ;;1;n;2;awareness;;
w zasadzie;;1;adv;2;basically;gruntownie;przede wszystkim
dwujêzyczny;;1;adj;3;bilingual;;
w³adczy;;1;adj;2;bossy;apodyktyczny;
b³yskotliwy;;1;adj;2;brilliant;znakomity;
niedbale;;1;adv;2;casually;swobodnie;mimochodem
ostro¿ny;;1;adj;2;cautious;przezorny;
pewny;;1;adj;1;certain;pewien;
prawid³owo;;1;adv;1;correctly;poprawnie;dobrze
zaciekawiony;;1;adj;2;curious;ciekawski;
obecnie;;1;adv;2;currently;bie¿¹co;
klient;;1;n;2;customer;;
rowerzysta;;1;n;2;cyclist;;
rozwiniêty;;1;adj;1;developed;rozbudowany;
zdekoncentrowany;;1;adj;3;distracted;rozkojarzony;
wyluzowany;;1;adj;2;easy-going;zrelaksowany;wyrozumia³y
wysi³ek;;1;n;2;effort;;
pracobiorca;;1;n;3;employee;pracownik;
pracodawca;;1;n;2;employer;;
ogromny;;1;adj;2;enormous;olbrzymi;astronomiczny
zasadniczy;;1;adj;3;essential;istotny;
zrównowa¿ony;;1;adj;3;even-tempered;opanowany;
podniecenie;;1;n;2;excitement;podekscytowanie;
niezwyk³y;;1;adj;2;extraordinary;nadzwyczajny;zadziwiaj¹cy
s³awa;;1;n;1;fame;rozg³os;
wina;;1;n;2;fault;wada;
¿eñski;;1;adj;1;female;;
niewiele;;1;adv;1;few;;
re¿yser filmowy;;1;n;1;film director;;
by³y przywódca;;1;n;2;former leader;;
hojny;;1;adj;2;generous;szczodry;wspania³omyœlny
stopniowo;;1;adv;2;gradually;;
nawykowy;;1;adj;1;habitual;na³ogowy;
pracowity;;1;adj;1;hard-working;robotny;
g³owa pañstwa;;1;n;1;head of state;;
niezdecydowany;;1;adj;2;indecisive;niestanowczy;
nieokreœlony;;1;adj;3;indefinable;;
wp³yw;;1;n;2;influence;oddzia³ywanie;
ubezpieczenie;;1;n;2;insurance;;
odsetki;;1;n;2;interest;zainteresowanie;
introspekcyjny;;1;adj;2;introspective;;
os¹d;;1;n;2;judgement;ocena;wyrok
brak;;1;n;2;lack;;
trwa³y;;1;adj;2;lasting ;sta³y;
mniej;;1;adv;1;less;;
bibliotekarz;;1;n;2;librarian;;
wiêkszoœæ;;1;n;2;majority;;
mêski;;1;adj;1;male;;
znaczenie;;1;n;1;meaning;sens ;
niegroŸny, lekki;;1;adj;2;minor;drobny;
jednoszynowy;;1;adj;3;monorail;;
humorzasty;;1;adj;2;moody;;
muzyk;;1;n;2;musician;;
jedynak, jedynaczka;;1;n;2;only child;;
o otwartym umyœle;;1;adj;2;open-minded;wolny od uprzedzeñ;
przereklamowany;;1;adj;3;overrated;przeceniony;
cierpliwy;;1;adj;1;patient;;
pieszy;;1;n;3;pedestrian;przechodzieñ;
osobowoœæ;;1;n;1;personality;osobistoœæ;charakter
konflikt osobowoœci;;1;n;2;personality clash;;
polityk;;1;n;2;politician;;
biedny;;1;adj;1;poor ;kiepski;s³aby
zdolnoœæ koncentracji;;1;n;1;power of concentration;;
ciœnienie;;1;n;2;pressure;presja;
programista;;1;n;2;programmer;;
nieruchomoœæ;;1;n;2;property;w³aœciwoœæ, cecha;
przys³owie;;1;n;3;proverb;;
psychiatra;;1;n;2;psychiatrist;;
psychometria;;1;n;3;psychometrics;;
jakoœæ;;1;n;2;quality;cecha;
wœciek³oœæ;;1;n;2;rage;sza³;
rzadki;;1;adj;1;rare;;
powód;;1;n;2;reason;przyczyna;rozum
stosunkowo;;1;adv;2;relatively;wzglêdnie;
niezawodny;;1;adj;2;reliable;solidny;wiarygodny
odpowiedzialny za;;1;adj;2;responsible for;;
recenzja;;1;n;2;review;;
pewny siebie;;1;adj;2;self-confident;dufny;
pó³kole;;1;n;3;semicircle;;
rozs¹dny;;1;adj;2;sensible;sensowny;
wra¿liwy;;1;adj;2;sensitive;czu³y;wyczulony
powa¿ny;;1;adj;2;serious;;
kilka;;1;adj;2;several;kilkanaœcie;
elegancki;;1;adj;2;smart;sprytny;
towarzyski;;1;adj;2;sociable;;
spo³eczeñstwo;;1;n;2;society;towarzystwo;stowarzyszenie
przestrzenny;;1;adj;2;spatial;;
o silnej woli;;1;adj;2;strong-willed;;
garnitur;;1;n;1;suit;kostium;
odpowiedni;;1;adj;2;suitable;stosowny;
otaczaj¹cy;;1;adj;2;surrounding;okoliczny;
wspó³czuj¹cy;;1;adj;2;sympathetic;;
gadatliwy;;1;adj;1;talkative;;
inspektor podatkowy;;1;n;2;tax inspector;;
tymczasowy;;1;adj;2;temporary;;
napiêcie;;1;n;3;tension;naprê¿enie;
teoria;;1;n;1;theory;;
rozwa¿ny;;1;adj;2;thoughtful;zamyœlony;zadumany
poirytowaæ;;1;v;2;to annoy;zdenerwowaæ;niepokoiæ
kojarzyæ;;1;v;2;to associate;zrzeszaæ;
zadziwiaæ;;1;v;3;to astonish;zaskakiwaæ;
uczestniczyæ;;1;v;2;to attend;;
przyci¹gaæ;;1;v;3;to attract;;
unikaæ;;1;v;2;to avoid;;
zakazaæ;;1;v;2;to ban;zabroniæ;
opieraæ (siê);;1;v;2;to base;bazowaæ (na);
nadawaæ programy;;1;v;2;to broadcast;;
opisaæ;;1;v;1;to describe;;
zaprojektowaæ;;1;v;2;to design;;
znikaæ;;1;v;2;to disappear;;
zarabiaæ na ¿ycie;;1;v;2;to earn a living;;
równaæ siê;;1;v;3;to equal;dorównaæ;
bledn¹æ;;1;v;3;to fade;blakn¹æ;gasnaæ
uk³adaæ z kimœ wspó³pracê;;1;v;3;to get on with sb;dogadywaæ siê z kimœ;
ukoñczyæ (naukê);;1;v;2;to graduate;;
wynaj¹æ;;1;v;2;to hire;zatrudniæ;
badaæ;;1;v;2;to investigate;prowadziæ œledztwo;
traciæ panowanie nad sob¹;;1;v;2;to lose temper;;
mieæ znaczenie;;1;v;1;to matter;liczyæ siê;
mierzyæ;;1;v;2;to measure;;
wspomnieæ;;1;v;1;to mention;nadmieniæ;
Ÿle zrozumieæ;;1;v;2;to misunderstand;b³êdnie zrozumieæ;
przewy¿szyæ (w dzia³aniu);;1;v;3;to outperform;;
wyprzedziæ;;1;v;3;to outrun;zdystansowaæ;
przyæmiæ;;1;v;3;to overshadow;;
wyprzedzaæ;;1;v;3;to overtake;;
posiadaæ;;1;v;1;to own;;
rozpoznaæ;;1;v;1;to recognise;uznaæ;
przedefiniowaæ;;1;v;2;to redefine;;
odzwierciedlaæ;;1;v;2;to reflect;odbiæ;snuæ refleksje
¿a³owaæ;;1;v;1;to regret;;
odnosiæ siê do;;1;v;3;to relate;powi¹zaæ z czymœ;
odpowiadaæ;;1;v;2;to respond;zareagowaæ;odezwaæ siê
wydawaæ siê;;1;v;2;to seem;;
rozwi¹zaæ;;1;v;1;to solve;;
specjalizowaæ siê;;1;v;1;to specialize;;
odnieœæ sukces;;1;v;2;to succeed;;
mieæ tendencjê;;1;v;2;to tend;;
wiêŸ;;1;n;2;togetherness;bycie razem;wspólnota
bliŸniak;;1;n;1;twin;;
niedoceniony;;1;adj;3;underrated;;
nieprzewidywalny;;1;adj;2;unpredictable;nieobliczalny;
podenerwowany;;1;adj;1;upset;;
wizja;;1;n;1;vision;wzrok;widzenie
istotny;;1;adj;3;vital;¿ywotny;
dobrze znany;;1;adj;1;well-known;;
skrót;;2;n;3;abbreviation;;
zakwaterowanie;;2;n;2;accommodation;;
relacja, opis;;2;n;3;account;sprawozdanie;
osi¹gniêcie;;2;n;2;achievement;;
przygoda;;2;n;2;adventure;;
doradca, bliski wspó³pracownik;;2;n;3;aide;;
staro¿ytny;;2;adj;2;ancient;;
pech;;2;n;2;bad luck;;
korzyœæ;;2;n;2;benefit;;
podró¿ s³u¿bowa;;2;n;2;business trip;;
wielb³¹d;;2;n;1;camel;;
dzia³alnoœæ charytatywna;;2;n;2;charity;dobroczynnoœæ;
pogodnie, weso³o;;2;adv;2;cheerfully;;
obywatel;;2;n;2;citizen;;
wêgiel;;2;n;1;coal;;
kontynent;;2;n;1;continent;;
rafa koralowa;;2;n;2;coral reef;;
wysuszony, kruchy;;2;adj;3;crisp;;
obyczaj;;2;n;2;custom;;
odprawa celna;;2;n;3;customs;urz¹d celny;
œwit;;2;n;3;dawn;;
opóŸnienie;;2;n;2;delay;;
pustynia;;2;n;2;desert;;
punkt docelowy podró¿y;;2;n;2;destination;;
katastrofa;;2;n;2;disaster;;
nurek;;2;n;2;diver;;
film dokumentalny;;2;n;2;documentary;;
wydma;;2;n;2;dune;;
krawêdŸ;;2;n;2;edge;;
ambasada;;2;n;2;embassy;;
cesarstwo;;2;n;2;empire;imperium;
dok³adny;;2;adj;2;exact;;
daleki, odleg³y;;2;adj;2;faraway;;
informacja zwrotna;;2;n;3;feedback;;
dziki, niebezpieczny;;2;adj;3;fierce;;
rz¹d (pañstwa);;2;n;2;government;;
proch strzelniczy;;2;n;1;gunpowder;;
wysokoœæ;;2;n;2;height;;
wczasowicz;;2;n;1;holidaymaker;;
wa¿ny;;2;adj;1;important;;
niedogodnoœæ;;2;n;3;inconvenience;niewygoda;
nieunikniony;;2;adj;2;inevitable;;
szczepienie;;2;n;3;inoculation;;
wywiad z kimœ;;2;n;2;interview;;
wynalazca;;2;n;2;inventor;;
d³ugoœæ;;2;n;2;length;;
kupiec;;2;n;3;merchant;;
marynarka wojenna;;2;n;3;navy;;
wycieczka zorganizowana;;2;n;2;package tour;;
zjawisko;;2;n;3;phenomenon;;
równina;;2;n;3;plain;;
nagroda;;2;n;2;prize;;
tratwa;;2;n;3;raft;;
relaks;;2;n;2;relaxation;odpoczynek;
wiejski;;2;adj;3;rural;;
s³ona pustynia;;2;n;3;salt-flat;;
piasek;;2;n;1;sand;;
nurkowanie z akwalungiem;;2;n;3;scuba diving;;
mewa;;2;n;3;seagull;;
rekin;;2;n;1;shark;;
jedwab;;2;n;2;silk;;
miejsce, plac;;2;n;3;site;;
stok;;2;n;3;slope;zbocze;
wolny czas;;2;n;1;spare time;;
zachód s³oñca;;2;n;2;sunset;;
podejrzliwie;;2;adv;2;suspiciously;;
zak³ad tekstylny;;2;n;2;textile plant;;
Beduini;;2;n;3;the Bedu;;
kradzie¿;;2;n;2;theft;;
wskazówka, porada;;2;n;2;tip;napiwek;
oskar¿yæ kogoœ o coœ;;2;v;3;to accuse sb of sth;;
og³osiæ, zapowiedzieæ;;2;v;2;to announce;;
usi³owaæ;;2;v;2;to attempt;;
po³kn¹æ haczyk;;2;v;3;to be hooked;;
winiæ kogoœ;;2;v;2;to blame;;
graniczyæ ;;2;v;2;to border;;
poszerzyæ;;2;v;2;to broaden;;
odwo³aæ coœ;;2;v;2;to cancel;;
kontynuowaæ;;2;v;2;to carry on;;
kapaæ;;2;v;3;to drip;;
zwiedzaæ;;2;v;3;to explore;badaæ;
karmiæ;;2;v;2;to feed;;
dowiedzieæ siê;;2;v;3;to find out;;
zwolniæ kogoœ z pracy;;2;v;2;to fire sb;;
skupiaæ siê na czymœ;;2;v;2;to focus on;;
zaniechaæ czegoœ, porzuciæ;;2;v;2;to give up;;
zamieszkiwaæ;;2;v;2;to inhabit;;
wystartowaæ (o rakiecie);;2;v;3;to lift off;;
uzyskaæ;;2;v;2;to obtain;;
skakaæ ze spadochronem;;2;v;3;to parachute;;
chwaliæ kogoœ;;2;v;2;to praise;;
osi¹gn¹æ, dotrzeæ;;2;v;2;to reach;;
uœwiadomiæ sobie;;2;v;2;to realise;;
¿eglowaæ;;2;v;2;to sail;;
wyruszyæ;;2;v;3;to set out;;
zatrzymaæ siê po drodze;;2;v;3;to stop off;przerwaæ podró¿;
rozci¹gaæ (siê);;2;v;3;to stretch;;
