WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
technika lotnicza;1;n;2;aeronautical engineering;;
obs³uga samolotu;1;n;2;aircraft maintenance;;
praktykant;1;n;2;apprentice;uczeñ rzemieœlnika;
praktyka zawodowa;1;n;2;apprenticeship;nauka rzemios³a;terminowanie
technika samochodowa;1;n;2;automotive engineering;;
szeroki;1;adj;1;broad;;
wybór;1;n;1;choice;;
budownictwo l¹dowe;1;n;2;civil engineering ;budownictwo l¹dowe i wodne;in¿ynieria l¹dowa i wodna
projektowanie wspomagane komputerowo;1;n;2;computer-aided design ;;
kreœlenie wspomagane komputerowo;1;n;3;computer-aided draughting ;;
kurs;1;n;1;course;;
stopieñ;1;n;1;degree;;
urz¹dzenie;1;n;2;device;;
cyfrowy;1;adj;2;digital;;
energetyka;1;n;2;electrical engineering ;elektrotechnika;
elektrycznoœæ;1;n;1;electricity;;
elektronika;1;n;1;electronics;;
œrodowisko;1;n;2;environment;;
usterka;1;n;2;fault;wada;skaza
monter;1;n;3;fitter;;
skupienie;1;n;2;focus;ogniskowa;
silnik turbospalinowy;1;n;3;gas turbine engine ;;
absolwent;1;n;1;graduate;;
przypadkowy;1;adj;3;haphazard;;
informatyka;1;n;2;information technology;;
wiedza;1;n;2;knowledge;;
technologia produkcji;1;n;3;manufacturing engineering ;technologia wytwarzania;
technika okrêtowa;1;n;3;marine technology;;
przetwarzanie sieciowe;1;n;2;network computing ;;
uzbrojenie;1;n;3;ordnance;;
uprzedni;1;adj;2;prior;wczeœniejszy;
œmig³o;1;n;3;propeller;œruba napêdowa;
kontrola jakoœci;1;n;3;quality assurance;;
wykwalifikowany;1;adj;2;skilled;;
przedmiot studiów;1;n;1;subject;;
stabilny rozwój;1;n;3;sustained growth;;
brygadzista;1;n;3;team leader;;
technik;1;n;2;technician;;
oceniaæ;1;v;3;to assess;szacowaæ;
³adowaæ;1;v;2;to charge;;
prowadziæ badania;1;v;1;to do research;;
zarabiaæ;1;v;1;to earn;;
zawieraæ w sobie;1;v;1;to include;;
uzyskaæ;1;v;2;to obtain;;
awansowaæ kogoœ;1;v;2;to promote;;
napêdzaæ;1;v;3;to propel;;
zast¹piæ;1;v;2;to replace;wymieniæ czêœæ;
nadzorowaæ;1;v;3;to supervise;;
transmisja;1;n;1;transmission;;
zmienna;1;n;3;variable;;
konserwacja i naprawa pojazdów;1;n;2;vehicle maintenance and repair;;
zawodowy;1;adj;2;vocational;;
warsztat;1;n;2;workshop;;
iloœæ;2;n;1;amount;;
zastosowanie;2;n;2;application;;
morela;2;n;1;apricot;;
warstwa wodonoœna;2;n;3;aquifer;;
drut kolczasty;2;n;2;barbed wire;;
partia, seria;2;n;3;batch;;
benzoesan;2;n;3;benzoate;;
zamykacz do butelki;2;n;2;bottle stopper;;
snopek;2;n;2;bundle;pêczek;
zatyczka;2;n;3;bung;;
puszkowanie;2;n;2;canning;;
chlorek;2;n;3;chloride;;
chlorofil;2;n;3;chlorophyll;;
korek;2;n;1;cork;;
odziarniarka;2;n;3;cotton gin;;
uprawa;2;n;1;crop;;
odwodnienie;2;n;2;dehydration;;
popyt;2;n;2;demand;;
g³êbokoœæ;2;n;2;depth;;
testowanie zniszczeniowe;2;n;2;destructive testing;;
wylewka;2;n;3;discharge pipe;;
wada;2;n;1;drawback;;
sprzêg;2;n;3;drawbar;;
matowy;2;adj;2;dull;;
wydajny;2;adj;2;efficient;;
wysi³ek;2;n;2;effort;;
przedsiêbiorczy;2;adj;3;entrepreneurial;;
w koñcu;2;adv;2;eventually;ostatecznie;
tkanina;2;n;2;fabric;;
nawóz;2;n;2;fertilizer;;
twardoœæ;2;n;2;firmness;;
konserwacja ¿ywnoœci;2;n;2;food preservation;;
granica;2;n;2;frontier;;
zbo¿e;2;n;2;grain;ziarno;
szpilka do w³osów;2;n;1;hairpin;;
r¹czka, uchwyt;2;n;2;handle;klamka;
œrodek chwastobójczy;2;n;2;herbicide;;
koñ mechaniczny;2;n;2;horsepower;;
w¹¿ (gumowy);2;n;2;hose;;
szypu³ka;2;n;3;hull;;
podnoœnik hydrauliczny;2;n;2;hydraulic lift;;
przyrz¹d;2;n;3;implement;narzêdzie;
praca;2;n;1;labour;;
roztrz¹sacz obornika;2;n;3;manure spreader;;
azotan;2;n;3;nitrate;;
brzoskwinia;2;n;1;peach;;
pestycyd;2;n;1;pesticide;;
stóg;2;n;2;pile;stos;sterta
t³ok cylindra;2;n;3;piston;;
ubóstwo;2;n;2;poverty;bieda;
wa³ odbioru mocy;2;n;3;power take-off shaft;;
bloczek;2;n;3;pulley;ko³o pasowe;
opady deszczu;2;n;1;rainfall;;
¿niwiarka;2;n;3;reaper;;
daj¹cy siê powtórnie przetworzyæ;2;adj;2;recyclable;;
poleganie na czymœ;2;n;2;reliance;;
daj¹cy siê powtórnie szczelnie zamkn¹æ;2;adj;2;resealable;;
lina;2;n;1;rope;sznur;
rz¹dek;2;n;2;row;;
próbka;2;n;2;sample;;
zakrêtka;2;n;2;screwtop;;
pakowanie hermetyczne;2;n;2;sealing;;
siewnik;2;n;3;seed drill;;
niedobór;2;n;2;shortage;brak;
chleb krojony;2;n;1;sliced bread;;
sód;2;n;3;sodium;;
gleba;2;n;2;soil;;
krok;2;n;1;step;;
siarczyn;2;n;3;sulphite;;
zak³adaæ, przypuszczaæ ;2;v;2;to assume;;
wrzeæ;2;v;2;to boil;;
odbijaæ siê;2;v;2;to bounce back;;
uprawiaæ;2;v;2;to cultivate;;
psuæ siê;2;v;2;to decay;gniæ;
wymyœliæ;2;v;2;to devise;zaprojektowaæ;
odbarwiaæ;2;v;2;to discolour;traciæ kolor;
rozró¿niaæ;2;v;2;to distinguish;;
dzieliæ;2;v;2;to divide;;
sprzyjaæ;2;v;2;to favour;faworyzowaæ;
grodziæ;2;v;2;to fence;;
mroziæ;2;v;1;to freeze;;
³¹czyæ;2;v;2;to fuse;;
kie³kowaæ;2;v;3;to germinate;;
chwyciæ;2;n;2;to grip;;
zbieraæ plony;2;v;2;to harvest;;
wskazywaæ;2;v;1;to indicate;;
przerywaæ;2;v;2;to interrupt;;
wynaleŸæ;2;v;2;to invent;;
podnieœæ;2;v;1;to lift;;
mierzyæ;2;v;2;to measure;;
sadziæ;2;v;2;to plant;;
oraæ;2;v;2;to plough;;
zwiêkszyæ ciœnienie;2;v;2;to pressurise;;
ch³odziæ;2;v;1;to refrigerate;;
rozrzucaæ;2;v;2;to scatter;;
zaopatrywaæ;2;v;2;to supply;dostarczaæ;
zamiataæ;2;v;1;to sweep;;
wi¹zaæ;2;v;1;to tie;;
nadepn¹æ;2;v;3;to tread;;
tkaæ;2;v;2;to weave;;
holowany;2;adj;2;trailed;ci¹gniony;
peda³;2;n;3;treadle;;
pompa no¿na;2;n;3;treadle pump;;
pró¿nia;2;n;2;vacuum;;
zawór;2;n;2;valve;;
zró¿nicowanie;2;n;2;variation;;
goœæ;2;n;1;visitor;;
lustro wody;2;n;3;water table;;
pasmo czêstotliwoœci;2;n;2;waveband;;
chwast;2;n;2;weed;;
drewniany balas w p³ocie;2;n;3;wooden rail;drewniana tralka;
dro¿d¿e;2;n;2;yeast;;
zbiór;2;n;3;yield;;
dok³adnoœæ;3;n;2;accuracy;;
punkt zakotwiczenia;3;n;2;anchor point;;
most ³ukowy;3;n;2;arch bridge;;
barka;3;n;3;barge;;
most belkowy;3;n;2;beam bridge;;
most skrzynkowy;3;n;3;box girder bridge;;
ceg³a;3;n;1;brick;;
p³yta noœna mostu;3;n;3;bridge deck;pomost;
most wantowy;3;n;3;cable stay bridge;most podwieszony;
stulecie;3;n;1;century;wiek;
wyzwanie;3;n;2;challenge;;
tymczasowa budowla hydrotechniczna;3;n;3;cofferdam;koferdam;
zawalenie siê;3;n;2;collapse;;
œciskanie;3;n;2;compression;;
betonowa ok³adzina;3;n;3;concrete lining;betonowa obudowa wewnêtrzna;
dŸwig;3;n;2;crane;;
g³owica skrawaj¹ca;3;n;3;cutterhead;;
uszkodzenie;3;n;2;damage;;
odkszta³cenie;3;n;2;distortion;;
most zwodzony;3;n;3;drawbridge;;
materialy wybuchowe;3;n;2;explosives;;
gaœnica;3;n;2;extinguisher;;
brygada robocza;3;n;3;gang of men;;
gazoci¹g;3;n;2;gas pipeline;;
dŸwigar;3;n;3;girder;;
olbrzymi;3;adj;2;huge;;
wewnêtrzne naprê¿enie;3;n;3;inward tension;wewnêtrzny naci¹g;
podnoœnik;3;n;3;jack;;
